Region;Taurus
11.04.2007;0.489
12.04.2007;0.489
13.04.2007;0.395
14.04.2007;0.442
15.04.2007;0.348
16.04.2007;0.283
17.04.2007;0.251
18.04.2007;0.218
19.04.2007;0.186
20.04.2007;0.166
21.04.2007;0.166
22.04.2007;0.283
23.04.2007;0.489
24.04.2007;0.442
25.04.2007;0.283
26.04.2007;0.395
27.04.2007;0.395
28.04.2007;0.583
29.04.2007;0.648
30.04.2007;1.63
1.05.2007;1.74
2.05.2007;1.74
3.05.2007;2.41
4.05.2007;3.49
5.05.2007;3.95
6.05.2007;4.71
7.05.2007;6.07
8.05.2007;7.21
9.05.2007;7.9
10.05.2007;7.44
11.05.2007;8.9
12.05.2007;11.3
13.05.2007;11.5
14.05.2007;11
15.05.2007;10.4
16.05.2007;9.67
17.05.2007;8.9
18.05.2007;8.9
19.05.2007;10.2
20.05.2007;10.2
21.05.2007;9.93
22.05.2007;9.42
23.05.2007;8.39
24.05.2007;7.9
25.05.2007;7.44
26.05.2007;6.76
27.05.2007;6.3
28.05.2007;5.65
29.05.2007;5.08
30.05.2007;4.52
31.05.2007;4.52
1.06.2007;4.71
2.06.2007;4.14
3.06.2007;3.8
4.06.2007;3.64
5.06.2007;3.33
6.06.2007;3.33
7.06.2007;3.49
8.06.2007;3.33
9.06.2007;3.33
10.06.2007;3.33
11.06.2007;2.87
12.06.2007;2.72
13.06.2007;2.41
14.06.2007;2.3
15.06.2007;2.3
16.06.2007;2.18
17.06.2007;2.07
18.06.2007;2.07
19.06.2007;2.18
20.06.2007;2.07
21.06.2007;1.95
22.06.2007;1.84
23.06.2007;1.74
24.06.2007;1.53
25.06.2007;1.53
26.06.2007;1.53
27.06.2007;1.53
28.06.2007;1.42
29.06.2007;1.24
30.06.2007;1.16
1.07.2007;0.99
2.07.2007;0.907
3.07.2007;0.842
4.07.2007;0.777
5.07.2007;0.777
6.07.2007;0.713
7.07.2007;0.713
8.07.2007;0.648
9.07.2007;0.713
10.07.2007;0.777
11.07.2007;0.713
12.07.2007;0.648
13.07.2007;0.648
14.07.2007;0.583
15.07.2007;0.536
16.07.2007;0.536
17.07.2007;0.489
18.07.2007;0.489
19.07.2007;0.442
20.07.2007;0.442
21.07.2007;0.395
22.07.2007;0.713
23.07.2007;0.907
24.07.2007;0.777
25.07.2007;0.713
26.07.2007;0.648
27.07.2007;0.648
28.07.2007;0.583
29.07.2007;0.648
30.07.2007;0.536
31.07.2007;0.648
1.08.2007;0.713
2.08.2007;0.648
3.08.2007;0.583
4.08.2007;0.536
5.08.2007;0.442
6.08.2007;0.395
7.08.2007;0.395
8.08.2007;0.348
9.08.2007;0.348
10.08.2007;0.316
11.08.2007;0.283
12.08.2007;0.283
13.08.2007;0.283
14.08.2007;0.251
15.08.2007;0.251
16.08.2007;0.251
17.08.2007;0.218
18.08.2007;0.218
19.08.2007;0.218
20.08.2007;0.218
21.08.2007;0.186
22.08.2007;0.186
23.08.2007;0.166
24.08.2007;0.186
25.08.2007;0.395
26.08.2007;1.84
27.08.2007;1.74
28.08.2007;0.842
29.08.2007;0.907
30.08.2007;0.583
31.08.2007;0.442
1.09.2007;0.348
2.09.2007;0.283
3.09.2007;0.251
4.09.2007;0.251
5.09.2007;0.218
6.09.2007;0.218
7.09.2007;0.218
8.09.2007;0.218
9.09.2007;0.218
10.09.2007;0.218
11.09.2007;0.218
12.09.2007;0.218
13.09.2007;0.186
14.09.2007;0.218
15.09.2007;0.218
16.09.2007;0.218
17.09.2007;0.186
18.09.2007;0.186
19.09.2007;0.186
20.09.2007;0.166
21.09.2007;0.166
22.09.2007;0.166
23.09.2007;0.146
24.09.2007;0.146
25.09.2007;0.166
26.09.2007;0.146
27.09.2007;0.146
28.09.2007;0.126
29.09.2007;0.126
30.09.2007;0.126
1.10.2007;0.126
2.10.2007;0.126
3.10.2007;0.126
4.10.2007;0.126
5.10.2007;0.126
6.10.2007;0.126
7.10.2007;0.126
8.10.2007;0.106
9.10.2007;0.106
10.10.2007;0.106
11.10.2007;0.126
12.10.2007;0.126
13.10.2007;0.126
14.10.2007;0.126
15.10.2007;0.126
16.10.2007;0.146
17.10.2007;0.146
18.10.2007;0.166
19.10.2007;0.316
20.10.2007;0.186
21.10.2007;0.126
22.10.2007;0.126
23.10.2007;0.126
24.10.2007;0.106
25.10.2007;0.106
26.10.2007;0.106
27.10.2007;0.106
28.10.2007;0.106
29.10.2007;0.106
30.10.2007;0.106
31.10.2007;0.106
1.11.2007;0.106
2.11.2007;0.106
3.11.2007;0.106
4.11.2007;0.106
5.11.2007;0.106
6.11.2007;0.106
7.11.2007;0.316
8.11.2007;0.218
9.11.2007;0.218
10.11.2007;0.218
11.11.2007;0.186
12.11.2007;0.186
13.11.2007;0.166
14.11.2007;0.166
15.11.2007;0.146
16.11.2007;0.146
17.11.2007;0.146
18.11.2007;0.146
19.11.2007;0.146
20.11.2007;0.146
21.11.2007;0.166
22.11.2007;0.166
23.11.2007;0.146
24.11.2007;0.146
25.11.2007;0.146
26.11.2007;0.126
27.11.2007;0.126
28.11.2007;0.126
29.11.2007;0.126
30.11.2007;0.126
1.12.2007;0.126
2.12.2007;0.126
3.12.2007;0.126
4.12.2007;0.126
5.12.2007;0.126
6.12.2007;3.64
7.12.2007;3.49
8.12.2007;2.56
9.12.2007;2.3
10.12.2007;3.03
11.12.2007;3.18
12.12.2007;3.03
13.12.2007;3.03
14.12.2007;2.87
15.12.2007;2.3
16.12.2007;2.07
17.12.2007;1.95
18.12.2007;1.74
19.12.2007;1.63
20.12.2007;1.42
21.12.2007;1.42
22.12.2007;1.24
23.12.2007;1.24
24.12.2007;1.16
25.12.2007;1.16
26.12.2007;1.07
27.12.2007;1.07
28.12.2007;1.07
29.12.2007;1.07
30.12.2007;0.99
31.12.2007;0.907
1.01.2008;0.907
2.01.2008;0.907
3.01.2008;0.907
4.01.2008;0.842
5.01.2008;0.842
6.01.2008;0.842
7.01.2008;0.842
8.01.2008;0.842
9.01.2008;0.777
10.01.2008;0.777
11.01.2008;0.777
12.01.2008;0.713
13.01.2008;0.713
14.01.2008;0.713
15.01.2008;0.713
16.01.2008;0.713
17.01.2008;0.713
18.01.2008;0.713
19.01.2008;0.648
20.01.2008;0.713
21.01.2008;0.713
22.01.2008;0.713
23.01.2008;0.713
24.01.2008;0.713
25.01.2008;0.648
26.01.2008;0.713
27.01.2008;0.648
28.01.2008;0.648
29.01.2008;0.713
30.01.2008;0.648
31.01.2008;0.648
1.02.2008;0.648
2.02.2008;0.648
3.02.2008;0.648
4.02.2008;0.713
5.02.2008;0.713
6.02.2008;0.777
7.02.2008;0.842
8.02.2008;0.777
9.02.2008;0.777
10.02.2008;0.842
11.02.2008;0.907
12.02.2008;0.842
13.02.2008;0.842
14.02.2008;0.842
15.02.2008;0.777
16.02.2008;0.777
17.02.2008;0.842
18.02.2008;0.907
19.02.2008;0.842
20.02.2008;0.842
21.02.2008;0.777
22.02.2008;0.907
23.02.2008;1.07
24.02.2008;1.24
25.02.2008;1.24
26.02.2008;1.16
27.02.2008;1.16
28.02.2008;1.24
29.02.2008;1.24
1.03.2008;1.42
2.03.2008;1.63
3.03.2008;1.84
4.03.2008;1.63
5.03.2008;1.84
6.03.2008;2.07
7.03.2008;2.18
8.03.2008;2.41
9.03.2008;3.18
10.03.2008;3.18
11.03.2008;3.18
12.03.2008;2.56
13.03.2008;2.41
14.03.2008;2.56
15.03.2008;2.56
16.03.2008;2.41
17.03.2008;2.72
18.03.2008;2.72
19.03.2008;2.56
20.03.2008;2.56
21.03.2008;2.72
22.03.2008;3.03
23.03.2008;3.18
24.03.2008;2.87
25.03.2008;2.87
26.03.2008;2.41
27.03.2008;2.07
28.03.2008;1.84
29.03.2008;1.74
30.03.2008;2.07
31.03.2008;2.18
1.04.2008;2.3
2.04.2008;1.95
3.04.2008;1.84
4.04.2008;1.74
5.04.2008;1.63
6.04.2008;1.53
7.04.2008;1.84
8.04.2008;1.74
9.04.2008;1.63
10.04.2008;1.63
11.04.2008;1.53
12.04.2008;1.53
13.04.2008;2.3
14.04.2008;2.87
15.04.2008;3.03
16.04.2008;3.64
17.04.2008;3.18
18.04.2008;2.56
19.04.2008;2.18
20.04.2008;2.07
21.04.2008;2.41
22.04.2008;2.87
23.04.2008;3.03
24.04.2008;3.49
25.04.2008;3.8
26.04.2008;3.8
27.04.2008;3.64
28.04.2008;3.33
29.04.2008;2.56
30.04.2008;1.95
1.05.2008;1.63
2.05.2008;1.42
3.05.2008;1.24
4.05.2008;1.24
5.05.2008;1.16
6.05.2008;1.24
7.05.2008;1.24
8.05.2008;1.16
9.05.2008;1.42
10.05.2008;1.42
11.05.2008;1.24
12.05.2008;1.16
13.05.2008;1.07
14.05.2008;1.07
15.05.2008;1.42
16.05.2008;1.74
17.05.2008;1.74
18.05.2008;1.74
19.05.2008;1.84
20.05.2008;2.18
21.05.2008;2.56
22.05.2008;2.87
23.05.2008;3.49
24.05.2008;3.49
25.05.2008;3.49
26.05.2008;4.9
27.05.2008;3.49
28.05.2008;2.87
29.05.2008;2.56
30.05.2008;2.72
31.05.2008;2.87
1.06.2008;2.87
2.06.2008;2.72
3.06.2008;2.56
4.06.2008;2.56
5.06.2008;2.56
6.06.2008;2.56
7.06.2008;2.41
8.06.2008;2.18
9.06.2008;2.3
10.06.2008;2.3
11.06.2008;1.95
12.06.2008;1.74
13.06.2008;1.42
14.06.2008;1.42
15.06.2008;1.53
16.06.2008;1.53
17.06.2008;1.63
18.06.2008;1.63
19.06.2008;1.63
20.06.2008;1.63
21.06.2008;1.53
22.06.2008;1.42
23.06.2008;1.42
24.06.2008;1.24
25.06.2008;1.16
26.06.2008;1.07
27.06.2008;0.99
28.06.2008;0.907
29.06.2008;0.842
30.06.2008;0.842
1.07.2008;0.842
2.07.2008;1.42
3.07.2008;1.84
4.07.2008;1.74
5.07.2008;1.63
6.07.2008;1.53
7.07.2008;1.53
8.07.2008;1.53
9.07.2008;1.42
10.07.2008;1.24
11.07.2008;1.24
12.07.2008;1.07
13.07.2008;0.99
14.07.2008;0.99
15.07.2008;1.07
16.07.2008;0.99
17.07.2008;0.907
18.07.2008;0.907
19.07.2008;0.842
20.07.2008;0.842
21.07.2008;0.777
22.07.2008;0.713
23.07.2008;0.648
24.07.2008;0.536
25.07.2008;0.583
26.07.2008;0.536
27.07.2008;0.442
28.07.2008;0.489
29.07.2008;0.442
30.07.2008;0.442
31.07.2008;0.442
1.08.2008;0.442
2.08.2008;0.395
3.08.2008;0.395
4.08.2008;0.395
5.08.2008;0.395
6.08.2008;0.348
7.08.2008;0.348
8.08.2008;0.316
9.08.2008;0.316
10.08.2008;0.395
11.08.2008;0.316
12.08.2008;0.316
13.08.2008;0.283
14.08.2008;0.283
15.08.2008;0.283
16.08.2008;0.283
17.08.2008;0.283
18.08.2008;0.283
19.08.2008;0.283
20.08.2008;0.283
21.08.2008;0.218
22.08.2008;0.218
23.08.2008;0.218
24.08.2008;0.218
25.08.2008;0.218
26.08.2008;0.218
27.08.2008;0.316
28.08.2008;0.489
29.08.2008;0.489
30.08.2008;0.489
31.08.2008;0.489
1.09.2008;0.442
2.09.2008;0.442
3.09.2008;0.442
4.09.2008;0.442
5.09.2008;0.395
6.09.2008;0.442
7.09.2008;0.442
8.09.2008;0.442
9.09.2008;0.442
10.09.2008;0.442
11.09.2008;0.442
12.09.2008;0.395
13.09.2008;0.395
14.09.2008;0.395
15.09.2008;0.395
16.09.2008;0.442
17.09.2008;0.442
18.09.2008;0.442
19.09.2008;0.442
20.09.2008;0.442
21.09.2008;0.442
22.09.2008;0.442
23.09.2008;0.442
24.09.2008;0.489
25.09.2008;0.442
26.09.2008;0.442
27.09.2008;0.842
28.09.2008;0.842
29.09.2008;0.777
30.09.2008;0.713
1.10.2008;0.713
2.10.2008;0.648
3.10.2008;0.648
4.10.2008;0.648
5.10.2008;0.648
6.10.2008;0.648
7.10.2008;0.777
8.10.2008;0.777
9.10.2008;0.777
10.10.2008;0.713
11.10.2008;0.713
12.10.2008;0.713
13.10.2008;0.713
14.10.2008;0.777
15.10.2008;1.07
16.10.2008;2.07
17.10.2008;1.74
18.10.2008;1.53
19.10.2008;1.32
20.10.2008;1.24
21.10.2008;1.16
22.10.2008;1.16
23.10.2008;1.16
24.10.2008;1.07
25.10.2008;1.07
26.10.2008;1.07
27.10.2008;0.99
28.10.2008;0.99
29.10.2008;1.07
30.10.2008;0.99
31.10.2008;0.99
1.11.2008;0.842
2.11.2008;0.648
3.11.2008;0.583
4.11.2008;0.536
5.11.2008;0.536
6.11.2008;0.536
7.11.2008;0.489
8.11.2008;0.442
9.11.2008;0.442
10.11.2008;0.395
11.11.2008;0.395
12.11.2008;0.395
13.11.2008;0.395
14.11.2008;0.395
15.11.2008;0.395
16.11.2008;0.348
17.11.2008;0.348
18.11.2008;0.395
19.11.2008;0.395
20.11.2008;0.348
21.11.2008;0.348
22.11.2008;0.348
23.11.2008;0.348
24.11.2008;0.489
25.11.2008;0.907
26.11.2008;0.648
27.11.2008;0.583
28.11.2008;0.536
29.11.2008;0.536
30.11.2008;0.489
1.12.2008;0.489
2.12.2008;0.489
3.12.2008;0.442
4.12.2008;0.442
5.12.2008;0.442
6.12.2008;0.395
7.12.2008;0.442
8.12.2008;0.442
9.12.2008;0.442
10.12.2008;0.442
11.12.2008;0.395
12.12.2008;0.395
13.12.2008;0.395
14.12.2008;0.395
15.12.2008;0.395
16.12.2008;0.348
17.12.2008;0.348
18.12.2008;0.316
19.12.2008;0.316
20.12.2008;0.316
21.12.2008;0.348
22.12.2008;0.348
23.12.2008;0.348
24.12.2008;0.395
25.12.2008;0.348
26.12.2008;0.348
27.12.2008;0.348
28.12.2008;0.348
29.12.2008;0.348
30.12.2008;0.348
31.12.2008;0.348
1.01.2009;0.348
2.01.2009;0.316
3.01.2009;0.316
4.01.2009;0.316
5.01.2009;0.316
6.01.2009;0.283
7.01.2009;0.395
8.01.2009;0.395
9.01.2009;0.395
10.01.2009;0.348
11.01.2009;0.348
12.01.2009;0.348
13.01.2009;0.316
14.01.2009;0.316
15.01.2009;0.348
16.01.2009;0.442
17.01.2009;0.713
18.01.2009;0.777
19.01.2009;0.583
20.01.2009;0.489
21.01.2009;0.489
22.01.2009;0.536
23.01.2009;0.648
24.01.2009;0.536
25.01.2009;0.489
26.01.2009;0.648
27.01.2009;0.713
28.01.2009;0.713
29.01.2009;0.713
30.01.2009;0.713
31.01.2009;0.713
1.02.2009;0.713
2.02.2009;0.648
3.02.2009;0.648
4.02.2009;0.648
5.02.2009;0.648
6.02.2009;0.713
7.02.2009;0.777
8.02.2009;0.713
9.02.2009;0.907
10.02.2009;1.95
11.02.2009;1.74
12.02.2009;1.32
13.02.2009;1.16
14.02.2009;0.99
15.02.2009;2.56
16.02.2009;2.56
17.02.2009;1.95
18.02.2009;1.63
19.02.2009;1.53
20.02.2009;1.42
21.02.2009;1.42
22.02.2009;1.24
23.02.2009;1.24
24.02.2009;1.24
25.02.2009;1.32
26.02.2009;1.32
27.02.2009;1.53
28.02.2009;1.63
1.03.2009;1.42
2.03.2009;1.32
3.03.2009;1.24
4.03.2009;1.24
5.03.2009;1.32
6.03.2009;2.3
7.03.2009;4.14
8.03.2009;6.07
9.03.2009;6.07
10.03.2009;4.33
11.03.2009;3.8
12.03.2009;3.49
13.03.2009;3.64
14.03.2009;3.49
15.03.2009;3.03
16.03.2009;2.56
17.03.2009;2.3
18.03.2009;2.3
19.03.2009;2.18
20.03.2009;2.07
21.03.2009;1.95
22.03.2009;2.07
23.03.2009;2.18
24.03.2009;2.18
25.03.2009;1.95
26.03.2009;1.95
27.03.2009;1.95
28.03.2009;2.3
29.03.2009;2.18
30.03.2009;2.56
31.03.2009;3.18
1.04.2009;3.33
2.04.2009;3.8
3.04.2009;5.46
4.04.2009;8.13
5.04.2009;6.76
6.04.2009;6.3
7.04.2009;9.16
8.04.2009;8.64
9.04.2009;7.21
10.04.2009;6.53
11.04.2009;5.84
12.04.2009;5.65
13.04.2009;5.08
14.04.2009;5.27
15.04.2009;6.99
16.04.2009;7.9
17.04.2009;9.42
18.04.2009;7.67
19.04.2009;6.53
20.04.2009;6.07
21.04.2009;6.3
22.04.2009;6.99
23.04.2009;7.9
24.04.2009;7.44
25.04.2009;6.76
26.04.2009;6.07
27.04.2009;5.46
28.04.2009;5.27
29.04.2009;5.08
30.04.2009;5.27
1.05.2009;5.27
2.05.2009;5.65
3.05.2009;5.84
4.05.2009;6.76
5.05.2009;12.7
6.05.2009;12.4
7.05.2009;12.7
8.05.2009;13.2
9.05.2009;10.4
10.05.2009;8.9
11.05.2009;7.9
12.05.2009;7.21
13.05.2009;6.99
14.05.2009;7.21
15.05.2009;7.67
16.05.2009;8.39
17.05.2009;8.9
18.05.2009;9.16
19.05.2009;9.42
20.05.2009;9.42
21.05.2009;9.42
22.05.2009;8.9
23.05.2009;7.67
24.05.2009;7.21
25.05.2009;7.67
26.05.2009;7.67
27.05.2009;7.21
28.05.2009;6.3
29.05.2009;6.07
30.05.2009;6.3
31.05.2009;6.76
1.06.2009;6.99
2.06.2009;7.44
3.06.2009;7.44
4.06.2009;7.67
5.06.2009;7.67
6.06.2009;7.21
7.06.2009;6.53
8.06.2009;6.3
9.06.2009;6.53
10.06.2009;6.53
11.06.2009;6.53
12.06.2009;6.3
13.06.2009;5.84
14.06.2009;6.07
15.06.2009;6.53
16.06.2009;6.07
17.06.2009;5.65
18.06.2009;5.65
19.06.2009;5.65
20.06.2009;5.65
21.06.2009;5.65
22.06.2009;5.46
23.06.2009;5.27
24.06.2009;5.27
25.06.2009;5.27
26.06.2009;4.9
27.06.2009;4.52
28.06.2009;4.14
29.06.2009;3.95
30.06.2009;3.8
1.07.2009;3.95
2.07.2009;4.14
3.07.2009;4.14
4.07.2009;3.95
5.07.2009;4.71
6.07.2009;4.52
7.07.2009;4.14
8.07.2009;3.8
9.07.2009;3.64
10.07.2009;3.64
11.07.2009;3.49
12.07.2009;3.33
13.07.2009;3.33
14.07.2009;3.33
15.07.2009;4.33
16.07.2009;4.14
17.07.2009;3.8
18.07.2009;3.49
19.07.2009;3.18
20.07.2009;3.18
21.07.2009;3.03
22.07.2009;3.03
23.07.2009;2.87
24.07.2009;2.72
25.07.2009;2.41
26.07.2009;2.41
27.07.2009;2.3
28.07.2009;2.3
29.07.2009;2.18
30.07.2009;2.07
31.07.2009;2.56
1.08.2009;3.8
2.08.2009;3.33
3.08.2009;3.18
4.08.2009;3.03
5.08.2009;2.72
6.08.2009;2.56
7.08.2009;2.56
8.08.2009;2.18
9.08.2009;2.3
10.08.2009;2.3
11.08.2009;2.07
12.08.2009;1.84
13.08.2009;1.95
14.08.2009;2.07
15.08.2009;1.95
16.08.2009;1.95
17.08.2009;1.74
18.08.2009;1.63
19.08.2009;1.53
20.08.2009;1.53
21.08.2009;1.42
22.08.2009;1.95
23.08.2009;2.72
24.08.2009;2.41
25.08.2009;2.18
26.08.2009;2.18
27.08.2009;1.95
28.08.2009;1.74
29.08.2009;1.63
30.08.2009;1.63
31.08.2009;1.42
1.09.2009;1.42
2.09.2009;1.32
3.09.2009;1.32
4.09.2009;1.32
5.09.2009;1.16
6.09.2009;1.24
7.09.2009;1.16
8.09.2009;1.16
9.09.2009;1.07
10.09.2009;1.07
11.09.2009;0.99
12.09.2009;0.99
13.09.2009;1.95
14.09.2009;1.24
15.09.2009;0.907
16.09.2009;0.907
17.09.2009;1.42
18.09.2009;2.56
19.09.2009;2.56
20.09.2009;2.72
21.09.2009;3.33
22.09.2009;4.14
23.09.2009;3.33
24.09.2009;3.49
25.09.2009;4.9
26.09.2009;4.9
27.09.2009;4.9
28.09.2009;4.71
29.09.2009;4.71
30.09.2009;4.71
1.10.2009;4.71
2.10.2009;4.52
3.10.2009;4.33
4.10.2009;4.71
5.10.2009;4.33
6.10.2009;4.52
7.10.2009;4.52
8.10.2009;4.33
9.10.2009;4.33
10.10.2009;4.14
11.10.2009;4.33
12.10.2009;3.8
13.10.2009;3.03
14.10.2009;3.33
15.10.2009;3.49
16.10.2009;3.33
17.10.2009;3.33
18.10.2009;3.49
19.10.2009;3.18
20.10.2009;3.18
21.10.2009;3.18
22.10.2009;3.03
23.10.2009;3.18
24.10.2009;3.03
25.10.2009;3.18
26.10.2009;3.03
27.10.2009;3.64
28.10.2009;4.9
29.10.2009;4.9
30.10.2009;4.9
31.10.2009;5.27
1.11.2009;2.72
2.11.2009;1.95
3.11.2009;2.07
4.11.2009;2.18
5.11.2009;10.4
6.11.2009;2.82
7.11.2009;1.42
8.11.2009;1.07
9.11.2009;1
10.11.2009;0.934
11.11.2009;0.798
12.11.2009;0.676
13.11.2009;0.623
14.11.2009;0.623
15.11.2009;0.623
16.11.2009;0.569
17.11.2009;0.516
18.11.2009;0.516
19.11.2009;0.516
20.11.2009;0.423
21.11.2009;0.423
22.11.2009;0.423
23.11.2009;0.384
24.11.2009;0.384
25.11.2009;0.384
26.11.2009;0.346
27.11.2009;0.346
28.11.2009;0.346
29.11.2009;0.346
30.11.2009;0.307
1.12.2009;0.307
2.12.2009;0.307
3.12.2009;0.268
4.12.2009;0.268
5.12.2009;0.268
6.12.2009;0.307
7.12.2009;0.307
8.12.2009;0.307
9.12.2009;0.307
10.12.2009;0.307
11.12.2009;0.423
12.12.2009;5.64
13.12.2009;4.69
14.12.2009;3.36
15.12.2009;2.42
16.12.2009;2.02
17.12.2009;3.09
18.12.2009;3.09
19.12.2009;2.82
20.12.2009;2.69
21.12.2009;2.69
22.12.2009;3.23
23.12.2009;2.96
24.12.2009;2.69
25.12.2009;2.56
26.12.2009;2.42
27.12.2009;2.69
28.12.2009;2.82
29.12.2009;2.96
30.12.2009;2.82
31.12.2009;2.42
1.01.2010;2.15
2.01.2010;2.02
3.01.2010;2.02
4.01.2010;1.92
5.01.2010;1.71
6.01.2010;1.61
7.01.2010;1.61
8.01.2010;1.61
9.01.2010;1.61
10.01.2010;1.51
11.01.2010;1.42
12.01.2010;1.33
13.01.2010;1.42
14.01.2010;1.33
15.01.2010;1.42
16.01.2010;1.42
17.01.2010;1.42
18.01.2010;1.51
19.01.2010;2.82
20.01.2010;3.36
21.01.2010;3.86
22.01.2010;3.09
23.01.2010;4.52
24.01.2010;4.36
25.01.2010;3.69
26.01.2010;3.09
27.01.2010;2.69
28.01.2010;2.56
29.01.2010;2.42
30.01.2010;2.29
31.01.2010;2.29
1.02.2010;2.42
2.02.2010;2.69
3.02.2010;2.82
4.02.2010;2.69
5.02.2010;2.42
6.02.2010;2.29
7.02.2010;2.15
8.02.2010;2.02
9.02.2010;2.02
10.02.2010;1.92
11.02.2010;2.02
12.02.2010;2.29
13.02.2010;2.42
14.02.2010;2.42
15.02.2010;2.96
16.02.2010;3.36
17.02.2010;3.36
18.02.2010;3.23
19.02.2010;3.69
20.02.2010;3.53
21.02.2010;3.53
22.02.2010;4.19
23.02.2010;3.53
24.02.2010;3.09
25.02.2010;2.96
26.02.2010;3.09
27.02.2010;3.09
28.02.2010;3.09
1.03.2010;2.96
2.03.2010;2.82
3.03.2010;3.36
4.03.2010;3.23
5.03.2010;3.23
6.03.2010;3.53
7.03.2010;3.53
