Region;Zagros
1.01.2006;0.347
1.02.2006;2.489
1.03.2006;2.118
1.04.2006;1.869
1.05.2006;1.39
1.06.2006;0.417
1.07.2006;0.231
1.08.2006;0.118
1.09.2006;0.038
1.10.2006;0.01
1.11.2006;0.204
1.12.2006;0.088
1.01.2007;0.142
1.02.2007;1.149
1.03.2007;1.015
1.04.2007;1.943
1.05.2007;2.662
1.06.2007;3.456
1.07.2007;0.435
1.08.2007;0.209
1.09.2007;0.165
1.10.2007;0.055
1.11.2007;0.068
1.12.2007;0.043
1.01.2008;0.062
1.02.2008;0.389
1.03.2008;0.578
1.04.2008;0.139
1.05.2008;0.059
1.06.2008;0.037
1.07.2008;0.009
1.08.2008;0.0005
1.09.2008;0.001
1.10.2008;0.0005
1.11.2008;0.166
1.12.2008;0.227
1.01.2009;0.264
1.02.2009;0.272
1.03.2009;0.569
