Region;Betics
24.06.2020;0.320974
25.06.2020;0.320974
26.06.2020;0.320974
27.06.2020;0.320974
28.06.2020;0.320974
29.06.2020;0.320974
30.06.2020;0.320974
1.07.2020;0.320974
2.07.2020;0.32505
3.07.2020;0.320974
4.07.2020;0.320974
5.07.2020;0.318549
6.07.2020;0.316124
7.07.2020;0.313699
8.07.2020;0.316124
9.07.2020;0.313699
10.07.2020;0.305211
11.07.2020;0.302785
12.07.2020;0.293084
13.07.2020;0.291872
14.07.2020;0.291872
15.07.2020;0.293084
16.07.2020;0.291872
17.07.2020;0.291872
18.07.2020;0.291872
19.07.2020;0.291872
20.07.2020;0.291872
21.07.2020;0.291872
22.07.2020;0.29073
23.07.2020;0.285018
24.07.2020;0.289587
25.07.2020;0.279307
26.07.2020;0.281591
27.07.2020;0.275672
28.07.2020;
29.07.2020;
30.07.2020;
31.07.2020;
1.08.2020;
2.08.2020;
3.08.2020;
4.08.2020;
5.08.2020;
6.08.2020;
7.08.2020;
8.08.2020;
9.08.2020;
10.08.2020;
11.08.2020;
12.08.2020;
13.08.2020;0.264457
14.08.2020;0.264457
15.08.2020;0.264457
16.08.2020;0.264457
17.08.2020;0.264457
18.08.2020;0.264457
19.08.2020;0.264457
20.08.2020;0.264457
21.08.2020;0.264457
22.08.2020;0.263384
23.08.2020;0.253722
24.08.2020;0.254796
25.08.2020;0.248354
26.08.2020;0.232654
27.08.2020;0.227622
28.08.2020;0.234667
29.08.2020;0.227622
30.08.2020;0.219571
31.08.2020;0.214538
1.09.2020;0.214538
2.09.2020;0.214538
3.09.2020;0.214538
4.09.2020;0.214538
5.09.2020;0.214538
6.09.2020;0.214538
7.09.2020;0.214538
8.09.2020;0.214538
9.09.2020;0.214538
10.09.2020;0.214538
11.09.2020;0.214538
12.09.2020;0.214538
13.09.2020;0.214538
14.09.2020;0.214538
15.09.2020;0.212656
16.09.2020;0.214538
17.09.2020;0.214538
18.09.2020;0.214538
19.09.2020;0.214538
20.09.2020;0.214538
21.09.2020;0.214538
22.09.2020;0.211715
23.09.2020;0.212656
24.09.2020;0.208892
25.09.2020;0.208892
26.09.2020;0.208892
27.09.2020;0.208892
28.09.2020;0.208892
29.09.2020;0.19666
30.09.2020;0.195719
1.10.2020;0.195719
2.10.2020;0.202306
3.10.2020;0.214538
4.10.2020;0.198542
5.10.2020;0.195719
6.10.2020;0.191955
7.10.2020;0.192896
8.10.2020;0.191955
9.10.2020;0.191955
10.10.2020;0.191955
11.10.2020;0.192896
12.10.2020;0.191955
13.10.2020;0.191955
14.10.2020;0.192896
15.10.2020;0.191955
16.10.2020;0.191955
17.10.2020;0.191955
18.10.2020;0.191955
19.10.2020;0.191955
20.10.2020;0.191955
21.10.2020;0.191955
22.10.2020;0.191955
23.10.2020;0.191955
24.10.2020;0.191955
25.10.2020;0.191955
26.10.2020;0.191955
27.10.2020;0.191955
28.10.2020;0.191955
29.10.2020;0.191955
30.10.2020;0.191955
31.10.2020;0.191955
1.11.2020;0.191955
2.11.2020;0.191955
3.11.2020;0.191955
4.11.2020;0.191955
5.11.2020;0.195719
6.11.2020;0.19666
7.11.2020;0.198542
8.11.2020;0.191955
9.11.2020;0.191955
10.11.2020;0.191955
11.11.2020;0.191955
12.11.2020;0.191955
13.11.2020;0.191955
14.11.2020;0.191955
15.11.2020;0.191955
16.11.2020;0.191955
17.11.2020;0.191955
18.11.2020;0.194976
19.11.2020;0.191955
20.11.2020;0.191955
21.11.2020;0.191955
22.11.2020;0.191955
23.11.2020;0.191077
24.11.2020;0.187568
25.11.2020;0.191955
26.11.2020;0.1902
27.11.2020;0.197664
28.11.2020;0.198542
29.11.2020;0.191955
30.11.2020;0.1902
1.12.2020;0.186691
2.12.2020;0.185814
3.12.2020;0.175287
4.12.2020;0.187887
5.12.2020;0.216551
6.12.2020;0.203247
7.12.2020;0.208279
8.12.2020;0.846907
9.12.2020;1.242151
10.12.2020;0.663003
11.12.2020;1.20308
12.12.2020;1.891604
13.12.2020;1.77232
14.12.2020;1.2225
15.12.2020;0.852333
16.12.2020;0.681941
17.12.2020;0.547862
18.12.2020;0.447864
19.12.2020;0.40016
20.12.2020;0.370816
21.12.2020;0.336389
22.12.2020;0.302785
23.12.2020;0.289587
24.12.2020;0.271311
25.12.2020;0.264457
26.12.2020;0.264457
27.12.2020;0.256943
28.12.2020;0.253722
29.12.2020;0.242987
30.12.2020;0.246207
31.12.2020;0.238693
1.01.2021;0.24406
2.01.2021;0.256943
3.01.2021;0.264457
4.01.2021;0.264457
5.01.2021;0.264457
6.01.2021;0.271311
7.01.2021;0.29073
8.01.2021;0.333117
9.01.2021;0.606636
10.01.2021;1.146035
11.01.2021;0.924723
12.01.2021;0.785096
13.01.2021;0.678995
14.01.2021;0.719777
15.01.2021;0.952571
16.01.2021;1.046461
17.01.2021;
18.01.2021;
19.01.2021;
20.01.2021;
21.01.2021;
22.01.2021;
23.01.2021;
24.01.2021;
25.01.2021;
26.01.2021;
27.01.2021;
28.01.2021;
29.01.2021;
30.01.2021;
31.01.2021;
1.02.2021;
2.02.2021;0.77974
3.02.2021;0.79788
4.02.2021;0.747429
5.02.2021;0.68701
6.02.2021;0.635635
7.02.2021;0.592495
8.02.2021;0.556745
9.02.2021;0.80027
10.02.2021;1.662536
11.02.2021;3.007911
12.02.2021;2.055466
13.02.2021;1.482045
14.02.2021;1.378674
15.02.2021;1.271488
16.02.2021;1.155675
17.02.2021;1.064863
18.02.2021;0.976647
19.02.2021;0.868603
20.02.2021;0.812742
21.02.2021;0.768155
22.02.2021;0.72701
23.02.2021;0.654825
24.02.2021;0.603784
25.02.2021;0.5684
26.02.2021;0.534016
27.02.2021;0.506744
28.02.2021;0.490746
1.03.2021;0.460844
2.03.2021;0.452506
3.03.2021;0.423836
4.03.2021;0.41879
5.03.2021;0.418074
6.03.2021;0.400877
7.03.2021;0.384635
8.03.2021;0.384396
9.03.2021;0.384396
10.03.2021;0.384635
11.03.2021;0.384396
12.03.2021;0.383717
13.03.2021;0.379643
14.03.2021;0.356557
15.03.2021;0.351803
16.03.2021;0.35203
17.03.2021;0.351803
18.03.2021;0.351803
19.03.2021;0.350947
20.03.2021;0.328896
21.03.2021;0.321189
22.03.2021;0.320974
23.03.2021;0.320974
24.03.2021;0.320772
25.03.2021;0.320166
26.03.2021;0.316362
27.03.2021;0.301977
28.03.2021;0.293084
29.03.2021;0.291872
30.03.2021;0.291872
31.03.2021;0.291872
1.04.2021;0.291872
2.04.2021;0.291872
3.04.2021;0.291872
4.04.2021;0.291872
5.04.2021;0.291872
6.04.2021;0.291681
7.04.2021;0.291491
8.04.2021;0.287874
9.04.2021;0.28597
10.04.2021;0.287874
11.04.2021;0.287112
12.04.2021;0.28064
13.04.2021;0.272834
14.04.2021;0.27074
15.04.2021;0.27588
16.04.2021;0.276261
17.04.2021;0.270169
18.04.2021;0.266932
19.04.2021;0.264457
20.04.2021;0.264457
21.04.2021;0.265029
22.04.2021;0.264838
23.04.2021;0.264457
24.04.2021;0.264457
25.04.2021;0.264457
26.04.2021;0.264457
27.04.2021;0.264457
28.04.2021;0.279117
29.04.2021;0.291872
30.04.2021;0.286732
1.05.2021;0.274547
2.05.2021;0.266742
3.05.2021;0.264648
4.05.2021;0.264457
5.05.2021;0.264457
6.05.2021;0.264457
7.05.2021;0.264457
8.05.2021;0.263742
9.05.2021;0.262668
10.05.2021;0.262847
11.05.2021;0.273442
12.05.2021;0.291491
13.05.2021;0.290539
14.05.2021;0.29111
15.05.2021;0.286922
16.05.2021;0.282924
17.05.2021;0.282543
18.05.2021;0.278355
19.05.2021;0.273596
20.05.2021;0.271501
21.05.2021;0.271882
22.05.2021;0.271501
23.05.2021;0.274357
24.05.2021;0.28102
25.05.2021;0.272453
26.05.2021;0.267694
27.05.2021;0.267123
28.05.2021;0.266932
29.05.2021;0.265219
30.05.2021;0.264457
31.05.2021;0.264457
1.06.2021;0.264457
2.06.2021;0.264648
3.06.2021;0.264457
4.06.2021;0.26579
5.06.2021;0.264457
6.06.2021;0.264457
7.06.2021;0.264457
8.06.2021;0.264457
9.06.2021;0.264457
10.06.2021;0.264457
11.06.2021;0.264457
12.06.2021;0.263921
13.06.2021;0.264279
14.06.2021;0.262847
15.06.2021;0.262847
16.06.2021;0.25068
17.06.2021;0.265623
18.06.2021;0.264648
19.06.2021;0.264279
20.06.2021;0.263205
21.06.2021;0.255332
22.06.2021;0.25068
23.06.2021;0.243524
24.06.2021;0.239408
25.06.2021;0.239051
26.06.2021;0.238693
27.06.2021;0.238693
28.06.2021;0.238693
29.06.2021;0.238693
30.06.2021;0.238693
1.07.2021;0.238693
2.07.2021;0.238693
3.07.2021;0.238693
4.07.2021;0.238693
5.07.2021;0.238693
6.07.2021;0.238693
7.07.2021;0.238525
8.07.2021;0.238189
9.07.2021;0.237686
10.07.2021;0.238022
11.07.2021;0.238693
12.07.2021;0.238693
13.07.2021;0.238872
14.07.2021;0.238693
15.07.2021;0.238693
16.07.2021;0.238693
17.07.2021;0.238693
18.07.2021;0.238693
19.07.2021;0.238693
20.07.2021;0.238693
21.07.2021;0.238693
22.07.2021;0.238693
23.07.2021;0.238693
24.07.2021;0.238693
25.07.2021;0.238693
26.07.2021;0.238693
27.07.2021;0.238693
28.07.2021;0.238693
29.07.2021;0.238693
30.07.2021;0.238693
31.07.2021;0.238693
1.08.2021;0.238693
2.08.2021;0.238693
3.08.2021;0.238693
4.08.2021;0.238693
5.08.2021;0.238693
6.08.2021;0.238693
7.08.2021;0.238693
8.08.2021;0.238693
9.08.2021;0.235506
10.08.2021;0.230507
11.08.2021;0.216384
12.08.2021;0.214706
13.08.2021;0.214538
14.08.2021;0.214538
15.08.2021;0.215209
16.08.2021;0.215042
17.08.2021;0.215377
18.08.2021;0.214874
19.08.2021;0.215209
20.08.2021;0.214538
21.08.2021;0.214538
22.08.2021;0.214538
23.08.2021;0.214538
24.08.2021;0.214538
25.08.2021;0.214706
26.08.2021;0.214538
27.08.2021;0.214538
28.08.2021;0.214538
29.08.2021;0.214538
30.08.2021;0.214538
31.08.2021;0.214538
1.09.2021;0.214538
2.09.2021;0.214538
3.09.2021;0.214538
4.09.2021;0.214538
5.09.2021;0.214538
6.09.2021;0.214538
7.09.2021;0.214235
8.09.2021;0.214538
9.09.2021;0.214382
10.09.2021;0.213597
11.09.2021;0.194474
12.09.2021;0.171047
13.09.2021;0.171047
14.09.2021;0.184224
15.09.2021;0.196973
16.09.2021;0.192111
17.09.2021;0.191955
18.09.2021;0.191955
19.09.2021;0.191955
20.09.2021;0.191955
21.09.2021;0.193837
22.09.2021;0.240135
23.09.2021;0.196816
24.09.2021;0.194778
25.09.2021;0.2125
26.09.2021;0.198228
27.09.2021;0.192268
28.09.2021;0.191955
29.09.2021;0.191955
30.09.2021;0.191955
1.10.2021;0.191955
2.10.2021;0.191955
3.10.2021;0.191955
4.10.2021;0.191955
5.10.2021;0.191955
6.10.2021;0.191955
7.10.2021;0.191808
8.10.2021;0.191516
9.10.2021;0.1902
10.10.2021;0.190931
11.10.2021;0.191077
12.10.2021;0.189908
13.10.2021;0.189031
14.10.2021;0.186545
15.10.2021;0.184791
16.10.2021;0.186106
17.10.2021;0.185375
18.10.2021;0.181428
19.10.2021;0.178065
20.10.2021;0.180258
21.10.2021;0.177188
22.10.2021;0.180258
23.10.2021;0.180404
24.10.2021;0.176164
25.10.2021;0.175141
26.10.2021;0.173825
27.10.2021;0.17324
28.10.2021;0.173387
29.10.2021;0.173825
30.10.2021;0.17748
31.10.2021;0.347351
1.11.2021;1.410452
2.11.2021;1.530027
3.11.2021;0.758939
4.11.2021;0.556757
5.11.2021;0.433621
6.11.2021;0.357706
7.11.2021;0.31673
8.11.2021;0.296116
9.11.2021;0.280449
10.11.2021;0.265409
11.11.2021;0.254796
12.11.2021;0.239766
13.11.2021;0.231983
14.11.2021;0.214538
15.11.2021;0.214538
16.11.2021;0.214538
17.11.2021;0.213754
18.11.2021;0.205913
19.11.2021;0.19415
20.11.2021;0.193837
21.11.2021;0.208422
22.11.2021;0.210147
23.11.2021;0.244944
24.11.2021;0.264457
25.11.2021;0.281782
26.11.2021;0.326318
27.11.2021;0.33489
28.11.2021;0.321201
29.11.2021;0.310061
30.11.2021;0.312486
1.12.2021;0.320974
2.12.2021;0.351276
3.12.2021;0.470295
4.12.2021;0.509522
5.12.2021;0.446901
6.12.2021;0.402549
7.12.2021;0.358832
8.12.2021;0.357009
9.12.2021;0.403504
10.12.2021;0.38417
11.12.2021;0.364252
12.12.2021;0.351803
13.12.2021;0.329324
14.12.2021;0.319762
15.12.2021;0.293893
16.12.2021;0.291872
17.12.2021;0.273596
18.12.2021;0.264457
19.12.2021;0.264457
20.12.2021;0.264457
21.12.2021;0.254259
22.12.2021;0.239945
23.12.2021;0.238693
24.12.2021;0.238693
25.12.2021;0.238693
26.12.2021;0.250502
27.12.2021;0.366187
28.12.2021;0.639883
29.12.2021;0.606519
30.12.2021;0.490655
31.12.2021;0.402071
1.01.2022;0.352599
2.01.2022;0.333178
3.01.2022;0.32057
4.01.2022;0.305615
5.01.2022;0.292478
6.01.2022;0.291872
7.01.2022;0.283305
8.01.2022;0.265029
9.01.2022;0.264457
10.01.2022;0.264457
11.01.2022;0.263954
12.01.2022;0.264279
13.01.2022;0.253722
14.01.2022;0.239408
15.01.2022;0.238872
16.01.2022;0.238693
17.01.2022;0.238693
18.01.2022;0.238693
19.01.2022;0.238693
20.01.2022;0.238693
21.01.2022;0.238357
22.01.2022;0.231983
23.01.2022;0.219738
24.01.2022;0.216887
25.01.2022;0.214538
26.01.2022;0.214706
27.01.2022;0.214538
28.01.2022;0.214538
29.01.2022;0.214538
30.01.2022;0.214538
31.01.2022;0.214538
1.02.2022;0.214538
2.02.2022;0.214538
3.02.2022;0.214538
4.02.2022;0.214538
5.02.2022;0.214538
6.02.2022;0.213597
7.02.2022;0.213597
8.02.2022;0.197601
9.02.2022;0.191955
10.02.2022;0.191955
11.02.2022;0.191955
12.02.2022;0.191955
13.02.2022;0.191955
14.02.2022;0.191955
15.02.2022;0.191955
16.02.2022;0.191955
17.02.2022;0.191955
18.02.2022;0.191955
19.02.2022;0.191955
20.02.2022;0.191955
21.02.2022;0.191955
22.02.2022;0.191955
23.02.2022;0.191955
24.02.2022;0.191955
25.02.2022;0.191955
26.02.2022;0.195719
27.02.2022;0.207951
28.02.2022;0.213597
1.03.2022;0.214538
2.03.2022;0.214538
3.03.2022;0.214538
4.03.2022;0.214538
5.03.2022;0.214538
6.03.2022;0.219571
7.03.2022;0.251575
8.03.2022;0.287303
9.03.2022;0.291872
10.03.2022;0.278165
11.03.2022;0.264457
12.03.2022;0.264457
13.03.2022;0.27588
14.03.2022;0.293084
15.03.2022;0.38974
16.03.2022;0.452003
17.03.2022;0.748186
18.03.2022;1.522919
19.03.2022;1.253023
20.03.2022;0.987241
21.03.2022;0.826692
22.03.2022;1.145954
23.03.2022;1.404665
24.03.2022;1.874614
25.03.2022;1.731147
26.03.2022;1.744495
27.03.2022;1.711699
28.03.2022;1.707367
29.03.2022;1.336057
30.03.2022;1.101828
31.03.2022;1.089972
1.04.2022;1.629946
2.04.2022;1.64598
3.04.2022;1.705877
4.04.2022;1.415036
5.04.2022;1.180982
6.04.2022;1.38916
7.04.2022;1.699199
8.04.2022;1.790303
9.04.2022;1.754387
10.04.2022;1.523334
11.04.2022;1.299102
12.04.2022;1.125938
13.04.2022;0.992899
14.04.2022;0.984901
15.04.2022;0.977558
16.04.2022;0.914565
17.04.2022;0.842454
18.04.2022;0.791355
19.04.2022;0.740125
20.04.2022;0.690996
21.04.2022;0.671082
22.04.2022;0.840002
23.04.2022;0.958164
24.04.2022;1.319962
25.04.2022;1.364438
26.04.2022;1.223241
27.04.2022;1.062279
28.04.2022;0.929159
29.04.2022;0.853777
30.04.2022;0.79788
1.05.2022;0.731778
2.05.2022;0.694996
3.05.2022;0.651592
4.05.2022;0.619041
5.05.2022;0.584256
6.05.2022;0.557619
7.05.2022;0.533142
8.05.2022;0.52814
9.05.2022;0.493127
10.05.2022;0.493127
11.05.2022;0.472487
12.05.2022;0.455022
13.05.2022;0.452003
14.05.2022;0.41879
15.05.2022;0.41879
16.05.2022;0.410192
17.05.2022;0.384396
18.05.2022;0.384396
19.05.2022;0.384396
20.05.2022;0.383038
21.05.2022;0.359952
22.05.2022;0.351803
23.05.2022;0.351803
24.05.2022;0.351803
25.05.2022;0.351803
26.05.2022;0.351803
27.05.2022;0.351803
28.05.2022;0.349234
29.05.2022;0.349234
30.05.2022;0.337673
31.05.2022;0.320974
1.06.2022;0.323544
2.06.2022;0.320974
3.06.2022;0.320974
4.06.2022;0.320974
5.06.2022;0.320974
6.06.2022;0.320974
7.06.2022;0.320974
8.06.2022;0.320974
9.06.2022;0.319762
10.06.2022;0.320974
11.06.2022;0.320974
12.06.2022;0.311274
13.06.2022;0.302785
14.06.2022;0.293084
15.06.2022;0.291872
16.06.2022;0.291872
17.06.2022;0.291872
18.06.2022;0.289587
19.06.2022;0.285018
20.06.2022;0.287303
21.06.2022;0.285018
22.06.2022;0.285018
23.06.2022;0.274738
24.06.2022;0.2656
25.06.2022;0.266742
26.06.2022;0.2656
27.06.2022;0.2656
28.06.2022;0.264457
29.06.2022;0.264457
30.06.2022;0.264457
1.07.2022;0.264457
2.07.2022;0.264457
3.07.2022;0.264457
4.07.2022;0.264457
5.07.2022;0.264457
6.07.2022;0.261237
7.07.2022;0.260163
8.07.2022;0.256943
9.07.2022;0.255869
10.07.2022;0.254796
11.07.2022;0.248354
12.07.2022;0.253722
13.07.2022;0.249428
14.07.2022;0.247281
15.07.2022;0.245134
16.07.2022;0.242987
17.07.2022;0.24406
18.07.2022;0.242987
19.07.2022;0.238693
20.07.2022;0.239766
21.07.2022;0.239766
22.07.2022;0.239766
23.07.2022;0.238693
24.07.2022;0.238693
25.07.2022;0.238693
26.07.2022;0.237686
27.07.2022;0.229635
28.07.2022;0.22259
29.07.2022;0.223596
30.07.2022;0.216551
31.07.2022;0.214538
1.08.2022;0.215545
2.08.2022;0.215356
3.08.2022;0.215191
4.08.2022;0.215191
5.08.2022;0.214538
6.08.2022;0.214702
7.08.2022;0.215028
8.08.2022;0.214538
9.08.2022;0.214702
10.08.2022;0.214538
11.08.2022;0.214538
12.08.2022;0.214538
13.08.2022;0.214865
14.08.2022;0.215193
15.08.2022;0.215191
16.08.2022;0.215193
17.08.2022;0.21503
18.08.2022;0.214702
19.08.2022;0.214538
20.08.2022;0.214702
21.08.2022;0.214538
22.08.2022;0.219398
23.08.2022;0.234806
24.08.2022;0.214702
25.08.2022;0.214538
26.08.2022;0.214538
27.08.2022;0.214538
28.08.2022;0.214538
29.08.2022;0.214538
30.08.2022;0.214538
31.08.2022;0.214538
1.09.2022;0.214538
2.09.2022;0.214538
3.09.2022;0.214538
4.09.2022;0.214538
5.09.2022;0.214538
6.09.2022;0.214538
7.09.2022;0.214538
8.09.2022;0.214538
9.09.2022;0.214538
10.09.2022;0.214538
11.09.2022;0.214538
12.09.2022;0.214538
13.09.2022;0.214538
14.09.2022;0.214538
15.09.2022;0.214538
16.09.2022;0.214538
17.09.2022;0.214538
18.09.2022;0.214538
19.09.2022;0.214538
20.09.2022;0.217521
21.09.2022;0.215688
22.09.2022;0.214867
23.09.2022;0.214538
24.09.2022;0.214538
25.09.2022;0.214538
26.09.2022;0.214538
27.09.2022;0.214538
28.09.2022;0.214538
29.09.2022;0.214538
30.09.2022;0.214538
